"Report","Acronym","Description"
"WGI","RH","relative humidity"
"WGI","RICH","Radiosonde Innovation Composite Homogenization"
"WGI; WGII; WGIII","RKR","Representative Key Risk; Representative Key Risks"
"WGI","RO","radio occultation"
"WGI","SAmerM","South American monsoon"
"WGI","SAO","South Atlantic Ocean"
"WGI","SAOD","stratospheric aerosol optical depth"
"WGI","SARF","stratospheric-temperature-adjusted radiative forcing"
"WGI","SAsiaM","South and South East Asian monsoon"
"WGI","SCA","Southern Central America"
"WGI; WGII","SCE","snow cover extent; Snow Cover Extent"
"WGI","ScenarioMIP","Scenario Model Intercomparison Project"
"WGI","SCM","simple climate model"
"WGI","SEAF","South Eastern Africa"
"WGI","SEJ","Structured Expert Judgement"
"WGI","SIA","sea ice area"
"WGI","SIE","sea ice extent"
"WGI","SMAP","Soil Moisture Active Passive"
"WGI","SMILE","single-model initial-condition large ensemble"
"WGI","SO4","sulphate"
"WGI; WGII","SOI","Southern Oscillation Index"
"WGI","SOO","Southern Ocean"
"WGI","SPCZ","South Pacific Convergence Zone"
"WGI","SPO","South Pacific Ocean or South Pole Observatory"
"WGI; WGIII","SRI","Standardized Runoff Index; Sustainable and Responsible Investment"
"WGI","SSW","sudden stratospheric warming"
"WGI","STE","stratosphere–troposphere exchange"
"WGI; WGII","SW","shortwave; Southwest"
"WGI","SWS","South-Western South America"
"WGI","SWV","stratospheric water vapour"
"WGI; WGII","TAR","IPCC Third Assessment Report; Third Assessment Report"
"WGI; WGII","TAV","Tropical Atlantic Variability"
"WGI","TCWV","total column water vapour"
"WGI","ThSL","thermosteric sea level"
"WGI","TNx","annual maximum daily minimum temperature"
"WGI","TOA","the net top-of-the-atmosphere"
"WGI","TPI","tripole Index"
"WGI","TRMM","Tropical Rainfall Measuring Mission"
"WGI","TSI","total solar irradiance"
"WGI","UAH","University of Alabama in Huntsville"
"WGI","UTLS","upper troposphere and lower stratosphere"
"WGI","UVic ESCM","University of Victoria Earth System Climate Model"
"WGI; WGII","VPD","vapour pressure deficit; Vapour Pressure Deficit"
"WGI","VSLS","very short-lived halogenated species"
"WGI","WAfriM","West African monsoon"
"WGI","WAN","West Antarctica"
"WGI","WBGT","wet bulb globe temperature"
"WGI","WC","Walker circulation"
"WGI; WGII","WCA","West Central Asia"
"WGI; WGII","WCE","Western and Central Europe; Western Central Europe"
"WGI","WMGHG","well-mixed greenhouse gas"
"WGI","WNP","Western North Pacific"
"WGI","WOA18","World Ocean Atlas 2018"
"WGI; WGII","WSAF","West Southern Africa"
"WGI","WSB","Wilkes Subglacial Basin"
"WGI","YJ","yottajoule, 10^24 joules"
"WGI","ZJ","zettajoule, 10^21 joules"
"WGII","3-PG","Physiological Processes Predicting Growth"
"WGII; WGIII","A/R","Afforestation and Reforestation; afforestation/reforestation"
"WGII","AAI","Africa Adaptation Initiative"
"WGII","AAS","Australian Academy of Science"
"WGII","ABS","Australian Bureau of Statistics"
"WGII","ACCC","Australian Competition and Consumer Commission"
"WGII","ACCCRN","Asian Cities Climate Change Resilience Network"
"WGII","ACRE","Agriculture and Climate Risk Enterprise"
"WGII","ACT","Australian Capital Territory"
"WGII","ADW","Alternate Drying and Wetting"
"WGII","AEMO","Australian Energy Market Operator"
"WGII","AFSI","Australian Sustainable Finance Initiative"
"WGII","AHP","Analytic Hierarchy Processing"
"WGII","AIDR","Australian Institute for Disaster Resilience"
"WGII","AIHW","Australian Institute of Health and Welfare"
"WGII","AK","Alaska"
"WGII","ANPP","Annual Net Primary Productivity"
"WGII","AOSIS","Alliance of Small Island States"
"WGII","APP","Agricultural Adaptation and Perception"
"WGII","APRA","Australian Prudential Regulation Authority"
"WGII","ARA","Arab Region of Asia"
"WGII","ARI","Acute Respiratory Infection"
"WGII","ASBEC","Australian Sustainable Built Environment Council"
"WGII","ASFI","Australian Sustainable Finance Initiative"
"WGII","ASP","Adaptive Social Protection"
"WGII","AT","Air Temperature / Austria"
"WGII","ATLAS","Adaptation Thought Leadership and Assessments"
"WGII","AU","African Union"
"WGII","AUC","Area under the Curve"
"WGII","AUP","Auckland Unitary Plan"
"WGII","BCH","Built Cultural Heritage"
"WGII","BDP","The Bangladesh Delta Plan"
"WGII","BFV","Barmah Forest Virus"
"WGII","BMPs","Best Management Practices"
"WGII","BOM","Bureau of Meteorology"
"WGII","BORDA","Bremen Overseas Research & Development Association"
"WGII; WGIII","BR","Biennial Report; biennial report"
"WGII; WGIII","BRI","Belt and Road Initiative"
"WGII","BRICS","Brazil, Russia, India, China and South Africa"
"WGII","BTM","Bhutanese Traditional Medicine"
"WGII","C&S","Cities and Settlements"
"WGII","CBO","Community-Based Organisations"
"WGII","CBs","Central Banks"
"WGII","CCATWG","Climate Change Adaptation Technical Working Group"
"WGII; WGIII","CCD","Climate Compatible Development; climate-compatible development"
"WGII","CCDMF","China Clean Development Mechanism Fund"
"WGII","CCE","Climate-Change Education"
"WGII","CCP","Cross-Chapter Paper"
"WGII","CCRA","Climate Change Response Act"
"WGII","CDC","Community Development Committees"
"WGII","CDEM","Civil Defence & Emergency Management"
"WGII","CDKN","Climate & Development Knowledge Network"
"WGII","CDMC","Community Disaster Management Committees"
"WGII","CEIC","Census and Economic Information Center"
"WGII","CER","Certified Emissions Reduction"
"WGII","CFM","Community Forest Management"
"WGII","CFP","Ciguatera Fish Poisoning"
"WGII","CFPP","Coal-Fired Power Plant"
"WGII","CH","Switzerland"
"WGII","CHIKV","Chikungunya Virus"
"WGII","CHL","Chlorophyll a"
"WGII","CICES","Common International Classification of Ecosystem Services"
"WGII","CIS","Climate Information Services"
"WGII","CLP","Community Learning Platform"
"WGII","CMR","Crude Mortality Rate"
"WGII","CMSI","Climate Measurement Standards Initiative"
"WGII","CoA","Commonwealth of Australia"
"WGII","COAG","Council of Australian Governments"
"WGII","CODOHSAPA","Centre for Dialogue on Human Settlement and Poverty Alleviation"
"WGII","COP16","16th Session of the Conference of the Parties"
"WGII","COP19","19th Session of the Conference of the Parties"
"WGII","COP26","26th Session of the Conference of the Parties"
"WGII","COPD","Chronic Obstructive Pulmonary Disease"
"WGII","COSSAO","Corporación De Servicios De Salud Y Desarrollo Socioeconómico, El Otoao"
"WGII","CPA","Conservation Priority Areas"
"WGII","CPI","Climate Policy Initiative / Climate Policy Integration"
"WGII","CRC","Climate Resilient City"
"WGII","CRFS","City Region Food System"
"WGII","CRGE","Climate Resilient Green Economy"
"WGII","CRIDA","Climate Risk Informed Decision Analysis"
"WGII","CRO","Chief Resilience Officer"
"WGII","CRS","Climate Regime Shifts"
"WGII; WGIII","CS","Climate Services; charge sustaining"
"WGII","CSF","Climate-Smart Forestry"
"WGII","CSOs","Combined Sewer Overflows"
"WGII","CVD","Cardiovascular Disease"
"WGII","CZ","Czech Republic"
"WGII; WGIII","DAC","Development Assistance Committee; direct air capture"
"WGII","DAE","Direct Access Entities"
"WGII","DAI","Dangerous Anthropogenic Interference"
"WGII","DAPP","Dynamic Adaptive Pathways Planning"
"WGII; WGIII","DBH","Diameter at Breast Height; diameter at breast height"
"WGII","DCCEE","Department of Climate Change, Energy and Efficiency"
"WGII","DE","Germany"
"WGII","DEA","Data Envelopment Analysis"
"WGII","DEHP","Department of Environment and Heritage Protection"
"WGII","DELWP","Department of Environment, Land, Water and Planning"
"WGII","DEM","Digital Elevation Model"
"WGII","DENR","Department of Environment and Natural Resources"
"WGII","DES","Department of Environment and Science"
"WGII","DESA","Department of Economic and Social Affairs"
"WGII","DFIs","Development Finance Institutions"
"WGII","DGVMs","Dynamic Global Vegetation Models"
"WGII","DINA","Drought Impact and Needs Assessment"
"WGII","DISER","Department of Industry, Science, Energy and Resources"
"WGII","DIY","Do It Yourself"
"WGII","DMDU","Decision-Making under Deep Uncertainty"
"WGII","DOM","Dissolved Organic Matter"
"WGII","DRC","Democratic Republic of Congo"
"WGII","DRFIP","Disaster Risk Financing and Insurance Program"
"WGII","DSR","Direct-Seeded Rice"
"WGII","EBS","Eastern Bering Sea"
"WGII","EBSA","Ecologically and Biologically Significant Areas"
"WGII","ECB","European Central Bank"
"WGII","ECOSOC","Economic and Social Council of the United Nations"
"WGII","EDCD","European Centre for Disease Prevention and Control"
"WGII","EDRM","Emergency and Disaster Risk Management"
"WGII","EFRs","Environmental Flow Requirements"
"WGII","EIA","Energy Information Administration"
"WGII","EKC","Environmental Kuznets Curve"
"WGII","ENACTS","East Africa and the West African Sahel"
"WGII","ESCC","Earth Systems and Climate Change"
"WGII","ESCI","Electricity Sector Climate Information"
"WGII; WGIII","ESD","Education for Sustainable Development; education for sustainable development"
"WGII","ESW","Economic and Sector Work"
"WGII","EWFD","European Water Framework Directive"
"WGII","FBD","Food-Borne Disease"
"WGII","FEDURP","Federation of the Urban and Rural Poor"
"WGII","FEW","Food–Energy–Water"
"WGII","Fish-MIP","Fisheries and Marine Ecosystem Model Intercomparison Project"
"WGII; WGIII","FLW","Food Loss and Waste; food loss and waste"
"WGII","FMU","Forest Management Unit"
"WGII","FPIC","Free Prior and Informed Consent"
"WGII","FR","France"
"WGII","FW","Fire Weather"
"WGII","FYROM","North Macedonia"
"WGII","G20","Group of Twenty"
"WGII","GAMI","Global Adaptation Mapping Initiative"
"WGII","GAST","Global Mean Surface Air Temperature"
"WGII","GBCA","Green Building Council of Australia"
"WGII","GBP","Great Britain Pound"
"WGII","GBR","Great Barrier Reef"
"WGII","GBRMPA","Great Barrier Reef Marine Park Authority"
"WGII","GDE","Groundwater-Dependent Ecosystem"
"WGII","GI","Gastrointestinal"
"WGII","GLEON","Global Lakes Ecological Observatory Network"
"WGII","GMSLR","Global Mean Sea Level Rise"
"WGII","GNDR","Global Network of Civil Society Organisations for Disaster Reduction"
"WGII","GNH","Gross National Happiness"
"WGII","GOA-ON","Global Ocean Acidification Observing Network"
"WGII","GQL","Good Quality of Life"
"WGII","GRDC","Global Runoff Data Centre"
"WGII","GWR","Geographically Weighted Regression"
"WGII","GWRC","Greater Wellington Regional Council"
"WGII","GWSHP","Groundwater-Source Heat Pumps"
"WGII","GWSI","Global Water Security Index"
"WGII","H","Hazard"
"WGII; WGIII","HAP","Heat Action Plan; household air pollution"
"WGII","HCSA","High Carbon Stock Areas"
"WGII","HCVA","High Conservation Value Areas"
"WGII","HDD","Heat Degree Days"
"WGII","HDSR","Health and Disability System Review"
"WGII","HELP","High Level Experts and Leaders Panel"
"WGII","HFRS","Haemorrhagic Fever with Renal Syndrome"
"WGII","HIV","Human Immunodeficiency Virus"
"WGII","HLD","High Latitude Dust"
"WGII","HNPP","Herbaceous Net Primary Productivity"
"WGII","HPLE","High Level Panel of Experts"
"WGII","HRBA","Human Rights-Based Approach"
"WGII; WGIII","HVAC","Heating, Ventilation and Air Conditioning; heating, ventilation and air conditioning"
"WGII","IAS","Invasive Alien Species"
"WGII","IBAI","Index-Based Agricultural Insurance"
"WGII","ICA","Insurance Council of Australia"
"WGII","ICNZ","Insurance Council of New Zealand"
"WGII","ICRI","International Coral Reef Initiative"
"WGII","ICV","Instituto Centro de Vida"
"WGII","ID","Insufficient Data"
"WGII","IDF","International Diabetes Foundation"
"WGII","IDMC","Internal Displacement Monitoring Centre"
"WGII","IDP","Internally Displaced People"
"WGII","IIED","International Institute for Environment and Development"
"WGII","IISD","International Institute for Sustainable Development"
"WGII","IKLK","Indigenous Knowledge and Local Knowledge"
"WGII","IPLC","Indigenous Peoples and Local Communities"
"WGII","IRGC","International Risk Governance Council"
"WGII","IS","Ice Sheet"
"WGII","ISME","International Society for Mangrove Ecosystems"
"WGII","IT","Italy"
"WGII","IUWN","Integrated Urban Water Management"
"WGII","IVA","Integrated Vulnerability Assessments"
"WGII","IWGIA","International Work Group for Indigenous Affairs"
"WGII","K1, K2, K3","Mountain Delineations"
"WGII","KNOMAD","Knowledge Partnership on Migration and Development"
"WGII; WGIII","KR","Key Risk; key risks"
"WGII","LCP","Local Community Perception"
"WGII","LC-PUFAs","Long-Chain Polyunsaturated Fatty Acids"
"WGII; WGIII","LDCF","Least Developed Country Fund; Least Developed Countries Fund"
"WGII; WGIII","LEDS","Low Emission Development Strategies; low-emissions development strategies"
"WGII","LEED","Leadership in Energy and Environmental Design"
"WGII","LEED-ND","Leadership in Energy and Environmental Design–Neighbourhood Design"
"WGII","LGBTQI","Lesbian, Gay, Bisexual, Transgender, Queer, Intersex"
"WGII","LGNZ","Local Government of New Zealand"
"WGII","LI","Lithuania"
"WGII","LIMIC","Low-Income and Medium-Income Countries"
"WGII","LTP","Long-Term Plan"
"WGII","LU","Luxembourg"
"WGII","m w.e.","Meter Water Equivalent"
"WGII","M&C","Monitoring and Evaluation"
"WGII","m.a.s.l.","Metres Above Sea Level"
"WGII","MAP","Mediterranean Action Plan / Municipal Adaptation Plan"
"WGII","MBIE","Ministry of Business, Innovation and Employment"
"WGII","MC","Mid-Century"
"WGII","MCP","Maximum Catch Potential"
"WGII","MCPP","Municipal Climate Protection Programme"
"WGII","MD","Mega-Drought"
"WGII","MEASO","Marine Ecosystem Assessment for the Southern Ocean"
"WGII","MEE","Ministry of Ecology and Environment"
"WGII","MEFF","Mediterranean Flood Fatalities Database"
"WGII","MeHg","Methylmercury"
"WGII","MEL","Monitoring, Evaluation and Learning"
"WGII","MERI","Monitoring, Evaluation, Reporting and Improvement"
"WGII","MERS","Middle East Respiratory Syndrome"
"WGII","MfE","Ministry for the Environment"
"WGII","MFP","Multistakeholder Forestry Programme"
"WGII","MGNREGA","Mahatma Gandhi National Rural Employment Guarantee Act"
"WGII","MI","Myocardial Infarction"
"WGII","MIPs","Model Intercomparison Projects"
"WGII","MMT","Minimum Mortality Temperature"
"WGII","MSFD","Marine Strategy Framework Directive"
"WGII","MSP","Marine Spatial Planning"
"WGII","MSRI","Modified System of Rice Intensification"
"WGII","MSSD","Mediterranean Strategy for Sustainable Development"
"WGII","MTE","Mediterranean-Type Ecosystems"
"WGII","NAF","North Africa and Middle East"
"WGII","NAHS","National Aboriginal Health Strategy"
"WGII","NBI","Nile Basin Initiative"
"WGII","NCCRS","National Climate Change Response Strategy"
"WGII","NE","Northeast"
"WGII; WGIII","NELD","Non-Economic Loss and Damage; non-economic loss and damage"
"WGII","NESP","National Environmental Science Program"
"WGII","NEUS","European Arctic Waters"
"WGII","NF","Near Future"
"WGII","NFM","Natural Flood Management"
"WGII","NHS","National Health Service"
"WGII","NIES","National Institute for Environmental Studies"
"WGII","NIWA","National Institute of Water and Air"
"WGII","NL","Netherlands"
"WGII","NMHS","National Meteorological and Hydrological Services"
"WGII","NSW","New South Wales"
"WGII","NTDs","Neglected Tropical Diseases"
"WGII","NTFPs","Non-Timber Forest Products"
"WGII; WGIII","NUA","New Urban Agenda"
"WGII","NWP","Northwest Passages"
"WGII","NYCEDC","New York City Economic Development Corporation"
"WGII","NZCFSF","New Zealand Centre for Sustainable Finance"
"WGII; WGIII","OAC","Ocean Albedo Change; ocean albedo change"
"WGII","OCLTT","Capacity-Limited Thermal Tolerance"
"WGII; WGIII","ODA","Official Development Assistance; overseas development assistance"
"WGII","OECM","Other Effective Area-Based Conservation Measures"
"WGII","OEH","Office of Environment and Heritage"
"WGII","OHRLLS","United Nations Office of the High Representative for the Least Developed Countries, Landlocked Developing Countries and Small Island Developing States"
"WGII","OMVS","Senegal River Basin Organisation"
"WGII","OSPAR","Convention for the Protection of the Marine Environment of the North-East Atlantic"
"WGII","OW","The Office of Water"
"WGII","PACJA","Pan Africa Climate Justice Alliance"
"WGII","PAGCC","Gender and Climate Change Action Plans"
"WGII","Pas","Protected Areas"
"WGII","PCB","Polychlorinated Biphenyl"
"WGII","PCE","Parliamentary Commissioner for the Environment"
"WGII","PDRC","People's Democratic Republic of Congo"
"WGII","PDS","Public Distribution System"
"WGII","pH","Potential of Hydrogen"
"WGII","PICSA","Participatory Integrated Climate Services for Agriculture"
"WGII","PIDA","African Union's Programme for Infrastructure Development"
"WGII","PIDACC","Programmes for Integrated Development and Adaptation to Climate Change"
"WGII","POMS","Pacific Oyster Mortality Syndrome"
"WGII","PPADI","Human Development Index, Recently Adjusted to Reflect the Effect of Planetary Pressures"
"WGII","PSI","Principles for Sustainable Insurance"
"WGII","PSNP","Productive Safety Net Programme"
"WGII","PTSD","Post-Traumatic Stress Disorder"
"WGII","PWC","Physical Work Capacity"
"WGII","PWLM","Participatory Watershed Land-Use Management"
"WGII","QFCI","Queensland Floods Commission of Inquiry"
"WGII","QFES","Queensland Fire and Emergency Services"
"WGII","QOL","Quality of Life"
"WGII","RAWES","Rapid Assessment of Wetland Ecosystem Services"
"WGII","RBNZ","Reserve Bank of New Zealand"
"WGII","RCSA","Rwanda Climate Services Programme"
"WGII","RE","Renewable Energy"
"WGII","REGEN","Rainfall Estimates on a Gridded Network"
"WGII","RFMO","Regional Fisheries Management Organisation"
"WGII","RIO","Rational Impartial Observer"
"WGII","RIT","Resilient Infrastructure and Technologies"
"WGII","RMB","Renminbi"
"WGII","ROSES","Reporting Standards for Systematic Evidence Syntheses"
"WGII","RRV","Ross River Virus"
"WGII","RTI","Respiratory Tract Infection"
"WGII","RVF","Rift Valley Fever"
"WGII","SAIA","South African Insurance Association"
"WGII","SAIIA","South African Institute of International Affairs"
"WGII","SARS","Severe Acute Respiratory Syndrome"
"WGII","SASSCAL","Southern African Science Service Centre for Climate Change, Adaptive Land Management"
"WGII","SC","Sponge City"
"WGII","scPDSI","Self-Calibrating Palmer Drought Severity Index"
"WGII; WGIII","SDS","Sand and Dust Storms; Sustainable Development Scenario (IEA scenario)"
"WGII; WGIII","SE","Southeast; sustainable entrepreneur"
"WGII","SEEA","System of Environmental–Economic Accounting"
"WGII","SETS","Social, Ecological and Technological Systems"
"WGII","SEU","Southern Europe"
"WGII","SEUS","Mediterranean Sea and Black Sea"
"WGII","SHELF","Sheffield Elicitation Framework"
"WGII","SITES","Sustainable Sites Initiative"
"WGII","SL","Slovenia"
"WGII","SLURC","Sierra Leone Urban Research Centre"
"WGII","SMART","Stormwater Management and Road Tunnel"
"WGII","SME","Small and Medium Enterprises"
"WGII; WGIII","SNA","System of National Accounts"
"WGII","SP","Social Protection"
"WGII","SPP","State Planning Policy"
"WGII; WGIII","SPV","Special Purpose Vehicle; special purpose vehicle"
"WGII","SRA","Social Responsibility Agreements"
"WGII","SSR","Seasonal Severity Rating"
"WGII","STFM","Sustainable Tropical Forest Management"
"WGII","STI","Science, Technology and Innovation"
"WGII","SUDS","Sustainable Urban Drainage Systems"
"WGII","SWM","Sustainable Water Management"
"WGII","SWP","Soil Water Potential"
"WGII; WGIII","TCFD","Task Force on Climate-Related Financial Disclosures; Task Force on Climate-related Financial Disclosures"
"WGII","TCs","Tropical Cyclones"
"WGII","TEG CRM","Technical Expert Group on Comprehensive Risk Management"
"WGII","TEU","Twenty-Foot Container Equivalent Units"
"WGII","TEUS","European Temperate Seas"
"WGII","T-FACE","Temperature Free-Air Controlled Enhancement"
"WGII","THI","Temperature Humidity Index"
"WGII","TIA","Tourism Industry Aotearoa"
"WGII","TK","Traditional Knowledge"
"WGII","TLAS","Timber Legality Assurance System"
"WGII","TMNs","Transnational Municipal Networks"
"WGII","TMSP","Transboundary Marine Spatial Planning"
"WGII","TN","Tropical Nights"
"WGII","TSR","Transpolar Sea Route"
"WGII","TSRA","Torres Strait Regional Authority"
"WGII","TSU","Technical Support Unit"
"WGII","TURFs","Territorial Use Rights for Fishing"
"WGII","TWS","Terrestrial Water Storage"
"WGII","TWS-DSI","Terrestrial Water Storage-Drought Severity Index"
"WGII","TWWHA","Tasmanian Wilderness World Heritage Area"
"WGII","UA","Urban Agriculture"
"WGII","UCDP","Uppsala Conflict Data Program"
"WGII","UCLG","United Cities and Local Governments"
"WGII","UHC","Universal Health Coverage"
"WGII","UNHCR","United Nations High Commissioner for Refugee"
"WGII","UPA","Urban and Peri-Urban Agriculture"
"WGII","USGS","United States Geological Survey"
"WGII","V","Vulnerability"
"WGII","VaR","Value at Risk"
"WGII","VBD","Vector-Borne Disease"
"WGII","VF","Vertical Farming"
"WGII","VoCC","Velocity of Climate Change"
"WGII","VPA","Voluntary Partnership Agreements"
"WGII","VRES","Variable Renewable Energies"
"WGII","WASCAL","West African Science Service Centre on Climate Change and Adaptive Land Management"
"WGII","WASH","Water, Sanitation and Hygiene"
"WGII","WBD","Waterborne Disease"
"WGII","WEMA","Water Efficient Maize for Africa"
"WGII","WEU","Western Europe"
"WGII","WGWDGD","Wet Get Wetter, Dry Get Drier"
"WGII","WNF","West Nile Fever"
"WGII","WSAA","Water Services Association of Australia"
"WGII","WSI","Water Scarcity Index"
"WGII; WGIII","WSUD","Water Sensitive Urban Design"
"WGII","WTTC","World Travel & Tourism Council"
"WGII","WTU","Water Treatment Unit"
"WGII","WUI","Wildland–Urban Interface"
"WGII","WWF","World Wildlife Fund"
"WGII","YCS","Yield Constraint Score"
"WGII","YLD","Years of Life Lived with Disability"
"WGII","YLL","Years of Life Lost"
"WGIII","AB","Assembly Bill"
"WGIII","ACCTS","Agreement on Climate Change, Trade and Sustainability"
"WGIII","ACF","areal carbon footprint"
"WGIII","ADEME","Agence de l'Environnement et de la Maîtrise de l'Energie (French Environment and Energy Management Agency)"
"WGIII","AFD","French Development Agency"
"WGIII","AILAC","Association of the Latin American and Caribbean Countries"
"WGIII","ALBA","Alianza Bolivariana para los Pueblos de Nuestra América (Bolivarian Alliance for the Peoples of our Americas)"
"WGIII","ALCA","Attributional Life Cycle Assessment"
"WGIII","AM","additive manufacturing"
"WGIII","APEC","Asia-Pacific Economic Cooperation"
"WGIII","AR7","Seventh Assessment Cycle of the Intergovernmental Panel on Climate Change"
"WGIII","ARPA-E","Advanced Research Projects Agency-Energy"
"WGIII","ART","Architecture for REDD+ Transactions"
"WGIII","Art.","Article (e.g., of the UNFCCC)"
"WGIII","ASAP","Adaptation for Smallholder Agriculture Programme"
"WGIII","ASCM","Agreement on Subsidies and Countervailing Measures"
"WGIII","ASI","Avoid-Shift-Improve"
"WGIII","ASK","available seat kilometres"
"WGIII","AUM","assets under management"
"WGIII","BAT","best available technology"
"WGIII","BCA","border carbon adjustment"
"WGIII","BEES","building energy efficiency standards"
"WGIII","BEMS","building energy management systems"
"WGIII","BF-BOF","blast furnace-basic oxygen furnace"
"WGIII","BIM","Building Information Modelling"
"WGIII","BIPV","building-integrated photovoltaic"
"WGIII","BLUE","Bookkeeping of land-use emissions"
"WGIII","BTR","biennial transparency report"
"WGIII","BTU","British thermal units"
"WGIII","CAT","Climate Action Tracker"
"WGIII","CAGR","compound annual growth rate"
"WGIII","CAIT","Climate Analysis Indicators Tool"
"WGIII","CAPEX","capital expenditure"
"WGIII","CBAM","carbon border adjustment mechanism"
"WGIII","CBCF","consumption-based carbon footprint (accounting)"
"WGIII","CBDRRC","common but differentiated responsibilities and respective capabilities"
"WGIII","CBEs","consumption-based emissions"
"WGIII","CCAC","Climate and Clean Air Coalition"
"WGIII","CCPI","Climate Change Performance Index"
"WGIII","CCX","Chicago Climate Exchange"
"WGIII","CDIAC","Carbon Dioxide Information Analysis Center"
"WGIII","CETA","EU-Canada Comprehensive Economic and Trade Agreement"
"WGIII","CfD","contract for difference"
"WGIII","CFL","compact fluorescent lamp [/lighting]"
"WGIII","CII","Carbon Intensity Indicator"
"WGIII","CLASP","Collaborative Labelling and Appliance Standards Program"
"WGIII","CLC","constant land cover"
"WGIII","CLCA","Consequential Life Cycle Assessment"
"WGIII","CLIMI","Climate Laws, Institutions and Measures Index"
"WGIII","CLRTAP","Convention on Long-Range Transboundary Air Pollution"
"WGIII","CLT","cross-laminated timber"
"WGIII","CMA","Conference of the Parties serving as the meeting of the Parties to the Paris Agreement"
"WGIII","CNG","compressed natural gas"
"WGIII","COMMIT","Climate policy assessment and Mitigation Modelling to Integrate national and global Transition pathways"
"WGIII","CORSIA","Carbon Offsetting and Reduction Scheme for International Aviation"
"WGIII","CPRS","Climate Policy Relevant Sectors"
"WGIII","CPTPP","Comprehensive and Progressive Agreement for Trans-Pacific Partnership"
"WGIII","CREMAs","Community Resource Management Area Mechanisms (Ghana)"
"WGIII","CRF","common reporting format"
"WGIII","CRIBs","Climate Relevant Innovation-system Builders"
"WGIII","CSI","Cement Sustainability Initiative"
"WGIII","CSSP","cross-sector social partnership"
"WGIII","CTCN","Climate Technology Centre and Network"
"WGIII","CurPol","Current Policies scenario"
"WGIII","DACCU","direct air capture carbon and utilisation"
"WGIII","DC","direct current"
"WGIII","DLS","decent living standards"
"WGIII","DSM","demand-side management"
"WGIII","DWM","down woody material"
"WGIII","EaaS","energy as a service"
"WGIII","EBEs","extraction-based emissions"
"WGIII","EDLC","electrochemical double layer capacitor"
"WGIII","EED","Energy Efficiency Directive"
"WGIII","EEDI","Energy Efficiency Design Index"
"WGIII","EEE","emissions embodied in exports"
"WGIII","EEI","emissions embodied in imports"
"WGIII","EEM","Energy Efficient Mortgage"
"WGIII","EES","electrical energy storage"
"WGIII","EET","emissions embodied in trade"
"WGIII","EEXI","Energy Efficiency Existing Ship Index"
"WGIII","EGR","exhaust gas recirculation"
"WGIII","EGTT","Expert Group on Technology Transfer"
"WGIII","EIMs","Energy Improvement Mortgages"
"WGIII","EIP","energy and industrial processes"
"WGIII","ELUC","land-use change emissions"
"WGIII","EMAS","Eco-Management and Auditing Scheme"
"WGIII","EPD","Environmental Product Declaration"
"WGIII","EPBD","Energy Performance Buildings Directive"
"WGIII","EPCs","Energy Performance Certificates"
"WGIII","EPS","Emissions Performance Standard"
"WGIII","EPR","extended producer responsibility"
"WGIII","ERIA","Economic Research Institute for ASEAN and East Asia"
"WGIII","ES-FiT","Energy Savings Feed-in Tariff"
"WGIII","ESCO","Energy Service Company"
"WGIII","ESG","environmental, social and governance"
"WGIII","EU-27","European Union member states [excluding UK]"
"WGIII","EU-28","European Union member states [including UK]"
"WGIII","EU ETS","European Union Emissions Trading Scheme"
"WGIII","FBDG","food-based dietary guidelines"
"WGIII","FCDO","UK Foreign, Commonwealth and Development Office"
"WGIII","FCV","fuel cell vehicle"
"WGIII","FDI","Foreign Direct Investment"
"WGIII","FIC","Faster Innovation Case"
"WGIII","FiT","feed-in tariff"
"WGIII","FiTP","feed-in premium"
"WGIII","FLEGT","Forest Law Enforcement, Governance and Trade"
"WGIII","FRAND","fair, reasonable and non-discriminatory"
"WGIII","FT","Fischer-Tropsch"
"WGIII","FTA","free trade agreement"
"WGIII","FWM","fine woody material"
"WGIII","GATS","General Agreement on Trade in Services"
"WGIII","GCCA","Global Cement and Concrete Association"
"WGIII","GCoM","Global Covenant of Mayors"
"WGIII","GFBI","Global Forest Biodiversity Initiative"
"WGIII","GFCA","Global Framework for Climate Action"
"WGIII","GMF","Global Methane Fund"
"WGIII","GMI","Global Methane Initiative"
"WGIII","GMRIO","global multi-region input-output"
"WGIII","GNI","gross national income"
"WGIII","GtCO2-eq","gigatonnes of CO2 equivalent"
"WGIII","GTEM","global transport energy sectoral models"
"WGIII","HCE","historical cumulative emission"
"WGIII","HCFCs","hydrochlorofluorocarbons"
"WGIII","HCS","High Carbon Stock"
"WGIII","H-DRI","Hydrogen-based direct reduced iron"
"WGIII","HEMS","home energy management system"
"WGIII","HES","Hybrid energy storage"
"WGIII","HFCV","hydrogen fuel cell vehicle"
"WGIII","HIHD","Historical Index of Human Development"
"WGIII","HLPF","High-Level Political Forum"
"WGIII","HN","Houghton and Nassikas"
"WGIII","HSR","high-speed rail"
"WGIII","HVO","hydrotreated vegetable oil"
"WGIII","IAGA","International Air Transport Association"
"WGIII","IBE","income-based emission accounting"
"WGIII","ICAO","International Civil Aviation Organization"
"WGIII","ICCT","International Council on Clean Transportation"
"WGIII","ICEV","internal combustion engine vehicles"
"WGIII","ICI","international cooperative initiative"
"WGIII","ICJ","International Court of Justice"
"WGIII","IDDRI","Institute for Sustainable Development and International Relations"
